Signal_Date,Ticker,Analysis_Type,Reference_Price,Reference_DT,Signal,Threshold_pct,Entry_Price,Entry_DT,SG_Natural,SL_pct,SG_pct,SL_price,SG_price,Deduped
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.002,0.002,128886.76,129403.34,False
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.002,0.005,128886.76,129790.78,False
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.002,0.0075,128886.76,130113.64,False
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.005,0.002,128499.32,129403.34,False
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.005,0.005,128499.32,129790.78,False
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.005,0.0075,128499.32,130113.64,False
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.0075,0.002,128176.46,129403.34,False
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.0075,0.005,128176.46,129790.78,False
2024-02-23,^BVSP,open_vs_prev_close,130449.55,2024-02-22 16:00:00,BUY,1%,129145.05,2024-02-23 13:00:00,,0.0075,0.0075,128176.46,130113.64,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.002,0.002,129014.01,129531.11,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.002,0.005,129014.01,129918.92,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.002,0.0075,129014.01,130242.1,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.005,0.002,128626.2,129531.11,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.005,0.005,128626.2,129918.92,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.005,0.0075,128626.2,130242.1,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.0075,0.002,128303.02,129531.11,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.0075,0.005,128303.02,129918.92,False
2024-02-23,^BVSP,open_vs_prev_max_vol_close,130578.34,2024-02-22 10:00:00,BUY,1%,129272.56,2024-02-23 13:00:00,,0.0075,0.0075,128303.02,130242.1,False
2024-02-27,^BVSP,open_vs_prev_open,129416.99,2024-02-26 10:00:00,SELL,1%,130711.16,2024-02-27 10:00:00,,0.002,0.002,130972.58,130449.74,False
2024-02-27,^BVSP,open_vs_prev_open,129416.99,2024-02-26 10:00:00,SELL,1%,130711.16,2024-02-27 10:00:00,,0.002,0.005,130972.58,130057.6,False
2024-02-27,^BVSP,open_vs_prev_open,129416.99,2024-02-26 10:00:00,SELL,1%,130711.16,2024-02-27 10:00:00,,0.002,0.0075,130972.58,129730.83,False
